"","Cluster","Gene","corr","pval"
"460","Cluster 1","KLRK1",0.836939792074546,1.25864644396293e-13
"461","Cluster 1","NT5E",0.119023431779722,0.4203858689725
"462","Cluster 1","RAET1G",0.738213680654764,2.12768431151131e-09
"463","Cluster 1","TAP1",0.966933643345619,6.09854701255645e-29
"464","Cluster 2","B2M",0.389539597649696,0.0275402251786546
"465","Cluster 2","CCL22",0.504946120162287,0.00320376763587912
"466","Cluster 2","CCL28",0.275802534107711,0.126534751571039
"467","Cluster 2","CD1C",0.831574565956755,3.73658474663756e-09
"468","Cluster 2","CD2",0.376525624780375,0.0336632466515464
"469","Cluster 2","CD40",0.617972677281333,0.00016404063100311
"470","Cluster 2","CXCL17",-0.0505759238954326,0.783397898332473
"471","Cluster 2","EZH2",0.289257974470923,0.108333459757128
"472","Cluster 2","KLRK1",0.862943253610189,2.11707774919261e-10
"473","Cluster 2","NT5E",0.288913566358211,0.108773347643324
"474","Cluster 2","RAET1G",0.258692575609976,0.152822483795973
"475","Cluster 2","TAP1",0.910908550253553,4.60978784876489e-13
"476","Cluster 3","B2M",0.696296037537255,8.55209456039804e-07
"477","Cluster 3","CCL22",0.440187859026492,0.00504271857589852
"478","Cluster 3","CCL28",0.986050365869907,2.03198812011841e-30
"479","Cluster 3","CD40",0.346630210518211,0.0306338586339149
"480","Cluster 3","CXCL17",-0.0185178105303114,0.910910118968096
"481","Cluster 3","CXCR5",0.190982389295645,0.244165502292506
"482","Cluster 3","HSP90B1",0.957125134077631,1.67346763454026e-21
"483","Cluster 3","KLRK1",0.618282354539645,2.73498811085092e-05
"484","Cluster 3","NT5E",0.857624501467334,3.10428260127987e-12
"485","Cluster 3","RAET1G",-0.0211143733427194,0.898478820909393
"486","Cluster 3","TAP1",0.844255538351136,1.45001249419018e-11
"487","Cluster 4","B2M",0.478343230345801,0.00750002699312705
"488","Cluster 4","CCL20",0.568102383994501,0.00105706531947578
"489","Cluster 4","CCL22",0.450362295351974,0.0125112626381925
"490","Cluster 4","CCL28",0.885796617114552,7.72131355027971e-11
"491","Cluster 4","CCR6",0.57960086520625,0.000789085478100903
"492","Cluster 4","CD1C",0.271778903914204,0.146265029342263
"493","Cluster 4","CD40",0.578730957747611,0.000807037940066158
"494","Cluster 4","CXCL17",0.514518928101433,0.00362632872937939
"495","Cluster 4","EZH2",0.872949985572687,3.16294180624073e-10
"496","Cluster 4","KLRK1",0.971958758725205,3.83463219410208e-19
"497","Cluster 4","LAG3",0.228978070617504,0.223557019333855
"498","Cluster 4","NT5E",-0.395861256025846,0.0303549443764252
"499","Cluster 4","RAET1G",0.95198726023678,6.31010186164932e-16
"500","Cluster 4","TAP1",0.988596699742213,1.43618909834041e-24
